tax_id,superkingdom,phylum,class,order,family,genus,species,clade,clade1,clade10,clade11,clade12,clade13,clade2,clade3,clade4,clade5,clade6,clade7,clade8,clade9,forma specialis,forma specialis1,isolate,kingdom,no rank,no rank1,no rank2,no rank3,section,serogroup,serotype,species group,species subgroup,strain,subclass,subfamily,subgenus,suborder,subphylum,subspecies
123,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,,PVC group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
126,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,,,PVC group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
133,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
134,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Methylocystis parvus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
136,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,,,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
137,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
138,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
139,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella burgdorferi,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
140,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia hermsii,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
141,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia parkeri,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
142,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia turicatae,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
143,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia anserina,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
154,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,Spirochaeta thermophila,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
157,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
158,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema denticola,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
159,Bacteria,Spirochaetes,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira hyodysenteriae,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
160,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema pallidum,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
162,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,Treponema phagedenis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
170,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
171,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
173,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira interrogans,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
174,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira borgpetersenii,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
176,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira interrogans,,,,,,,,,,,,,,,,,,,cellular organisms,Leptospira interrogans serovar Hardjo,,,,,,,,,,,,,,
179,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
191,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
192,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum brasilense,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
194,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
195,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
196,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter fetus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
197,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
198,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter hyointestinalis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
199,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
200,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter curvus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
201,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
203,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter rectus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
204,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter showae,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
206,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter sputorum,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
209,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
210,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
213,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter cinaedi,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
217,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter mustelae,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,delta/epsilon subdivisions,
222,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
226,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
227,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas carrageenovora,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
234,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
237,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
238,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Elizabethkingia,Elizabethkingia meningoseptica,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
246,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium balustinum,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
247,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Empedobacter,Empedobacter brevis,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
250,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium gleum,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
253,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium indologenes,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
254,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium indoltheticum,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
259,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium thalpophilum,FCB group,Bacteroidetes/Chlorobi group,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
262,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
263,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
264,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,Francisella tularensis subsp. novicida
265,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
266,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus denitrificans,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
270,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
274,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus thermophilus,Terrabacteria group,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
283,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
285,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas testosteroni,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
286,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Pseudomonas aeruginosa group,,,,,,,,
292,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Burkholderia cepacia complex,,,,,,,,
294,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Pseudomonas fluorescens group,,,,,,,,
296,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fragi,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Pseudomonas chlororaphis group,,,,,,,,
297,Bacteria,Proteobacteria,Hydrogenophilalia,Hydrogenophilales,Hydrogenophilaceae,Hydrogenophilus,Hydrogenophilus thermoluteolus,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
300,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas mendocina,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Pseudomonas aeruginosa group,,,,,,,,
301,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas oleovorans,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Pseudomonas aeruginosa group,Pseudomonas oleovorans/pseudoalcaligenes group,,,,,,,
303,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Pseudomonas putida group,,,,,,,,
305,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
316,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Pseudomonas stutzeri group,Pseudomonas stutzeri subgroup,,,,,,,
317,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,Pseudomonas syringae group,Pseudomonas syringae group genomosp. 1,,,,,,,
321,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae,,,,,,,,,,,,,,,,,,,cellular organisms,Pseudomonas syringae pv. syringae,,,,,,Pseudomonas syringae group,Pseudomonas syringae group genomosp. 1,,,,,,,
323,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae group genomosp. 3,,,,,,,,,,,,,,,,,,,cellular organisms,Pseudomonas syringae pv. tomato,,,,,,Pseudomonas syringae group,,,,,,,,
329,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pickettii,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
337,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia glumae,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
338,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
339,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
340,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,,,,,,,,,,,,,,,,,,,cellular organisms,Xanthomonas campestris pv. campestris,,,,,,,,,,,,,,
343,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas translucens,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
347,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
352,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,Azotobacter group,,,,
353,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter chroococcum,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,Azotobacter group,,,,
354,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter vinelandii,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,Azotobacter group,,,,
356,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
357,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,,,,,,,,,,,,,,,,,,,,cellular organisms,Rhizobium/Agrobacterium group,,,,,,,,,,,,,,
358,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,,,,,,,,,,,,,,,,,,,cellular organisms,Rhizobium/Agrobacterium group,,,,,,Agrobacterium tumefaciens complex,,,,,,,,
359,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium rhizogenes,,,,,,,,,,,,,,,,,,,cellular organisms,Rhizobium/Agrobacterium group,,,,,,,,,,,,,,
374,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
375,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium japonicum,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
376,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp.,,,,,,,,,,,,,,,,,,,cellular organisms,unclassified Bradyrhizobium,,,,,,,,,,,,,,
379,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,,,,,,,,,,,,,,,,,,,cellular organisms,Rhizobium/Agrobacterium group,,,,,,,,,,,,,,
380,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium fredii,,,,,,,,,,,,,,,,,,,cellular organisms,Sinorhizobium/Ensifer group,,,,,,Sinorhizobium fredii group,,,,,,,,
381,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium loti,,,,,,,,,,,,,,,,,,,cellular organisms,,,,,,,,,,,,,,,
382,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti,,,,,,,,,,,,,,,,,,,cellular organisms,Sinorhizobium/Ensifer group,,,,,,,,,,,,,,
